,Name,RAT,VER,Price,SKI,WF,PAC,SHO,PAS,DRI,DEF,PHY,Popularity,BS,IGS,Weight,Height,Pos,AttackWorkRate,DefenseWorkRate
1021,Jan Oblak,89,Normal  Controlled,0,1,3,86,90,78,89,49,87,189,479,1040,87.0,188,GK,M,M
1022,Morientes,89,Hero  Controlled,26K,4,4,84,90,77,83,45,86,1245,465,2242,79.0,186,ST,H,M
1023,Abedi Pelé,89,Hero  Explosive,32K,4,4,91,83,87,91,48,66,1452,466,2267,67.0,174,CAM,M,M
1024,David Ginola,89,Hero  Controlled,34.25K,5,5,90,88,87,91,55,84,4397,495,2375,83.0,186,LM,H,M
1025,Iker Casillas,89,Icon  Controlled,118K,1,3,90,88,84,88,58,91,-53,499,1292,84.0,185,GK,M,M
1026,Jürgen Kohler,89,Hero  Lengthy,0,2,3,71,51,63,62,91,90,366,428,2033,84.0,186,CB,M,H
1027,Rudi Völler,89,Hero  Controlled,20K,3,4,89,90,76,86,47,85,1901,473,2288,77.0,180,ST,H,M
1028,Jean-Pierre Papin,89,Hero  Controlled,26.25K,3,4,83,93,73,83,44,76,913,452,2212,72.0,176,ST,H,M
1029,Lucimar da Silva Ferreira,89,Hero  Lengthy,37.5K,3,3,82,72,74,77,91,89,2774,485,2303,84.0,188,CB,M,H
1030,Marquinhos,89,IF  Controlled,27K,3,3,80,57,76,76,90,82,527,461,2159,75.0,183,CB,M,H
1031,Luka Modric,89,IF  Explosive,30K,4,4,75,78,90,89,73,67,1234,472,2334,66.0,172,CM,M,M
1032,Antonio Rüdiger,89,OTW  Lengthy,25K,2,3,84,55,75,71,88,87,1054,460,2112,85.0,190,CB,H,H
1033,Erling Haaland,89,IF  Lengthy,47.5K,3,3,90,92,67,82,50,88,1628,469,2194,94.0,195,ST,H,M
1034,Phil Foden,89,Champions League  Explosive,30K,4,3,86,83,86,92,61,65,1851,473,2248,69.0,171,LW,H,H
1035,Gianluigi Donnarumma,89,IF  Controlled,25.75K,1,3,91,84,81,90,54,86,1354,486,1018,90.0,196,GK,M,M
1036,João Cancelo,89,IF  Controlled,0,4,4,86,75,86,86,82,75,2143,490,2328,74.0,182,LB,H,M
1037,Gerard Piqué,89,Rulebreakers  Lengthy,32.5K,2,3,83,58,77,74,88,87,1119,467,2159,85.0,194,CB,H,M
1038,Toni Kroos,89,IF  Controlled,18K,3,5,55,82,91,82,72,70,607,452,2218,76.0,183,CM,M,M
1039,Sergio Ramos,89,Rulebreakers  Lengthy,0,3,3,80,65,76,74,89,84,1740,468,2287,82.0,184,CB,H,M
1040,Thiago,89,Rulebreakers  Explosive,32.25K,5,3,85,84,89,87,75,73,1792,493,2414,70.0,174,CM,M,M
1041,Steven Berghuis,89,World Cup PTG  Controlled,66.1K,4,3,88,88,89,89,47,79,1146,480,2303,75.0,182,CAM,H,M
1042,Jack Grealish,89,World Cup PTG  Controlled,25.5K,4,3,87,84,89,92,49,76,1264,477,2230,81.0,180,LW,H,M
1043,Antoine Griezmann,89,World Cup PTG  Explosive,29.5K,5,5,87,89,89,92,60,85,2833,502,2490,73.0,176,ST,M,M
1044,Kingsley Coman,89,World Cup Star SBC  Explosive,30.75K,5,3,94,82,82,89,34,70,421,451,2156,75.0,179,LM,M,M
1045,Fabinho,89,World Cup Star SBC  Lengthy,11.15K,3,2,78,75,84,85,88,86,635,496,2361,78.0,188,CDM,M,H
1046,Joshua Kimmich,89,World Cup Player  Explosive,0,3,4,68,72,87,84,83,79,17,473,2308,75.0,177,CDM,H,M
1047,Alisson,89,World Cup Player  Lengthy,0,1,3,86,85,85,89,54,90,20,489,1070,91.0,191,GK,M,M
1048,Heung Min Son,89,World Cup Player  Controlled,0,4,5,88,89,82,86,42,69,57,456,2177,78.0,183,LW,H,M
1049,Ederson,89,World Cup Player  Lengthy,0,1,3,87,82,93,88,64,88,7,502,1215,86.0,188,GK,M,M
1050,Neymar Jr,89,World Cup Player  Explosive,0,5,5,87,83,85,93,37,61,176,446,2192,68.0,175,LW,H,M
1051,Casemiro,89,World Cup Player  Lengthy,0,2,3,63,73,75,72,87,90,9,460,2227,84.0,185,CDM,M,H
1052,Harry Kane,89,World Cup Player  Lengthy,0,3,5,68,91,83,82,47,82,11,453,2231,89.0,188,ST,H,H
1053,Sadio Mané,89,World Cup Player  Explosive,0,4,4,90,83,80,88,44,77,46,462,2216,69.0,174,LM,H,M
1054,Palhinha,89,World Cup PTG SBC  Lengthy,140.8K,3,4,75,76,80,81,90,95,-1109,497,2328,85.0,190,CDM,M,H
1055,Sergej Milinkovic-Savic,89,World Cup PTG  Lengthy,0,4,5,75,84,85,85,82,90,702,501,2389,76.0,191,CM,H,M
1056,Leon Goretzka,89,World Cup PTG  Controlled,0,3,4,80,84,84,85,84,88,601,505,2400,82.0,189,CM,H,M
1057,Bruno Guimarães,89,World Cup PTG  Controlled,29.75K,3,3,82,80,87,89,86,87,3161,511,2423,74.0,182,CM,H,H
1058,Kyle Walker,89,World Cup PTG  Controlled,0,3,2,95,67,83,84,85,86,926,500,2356,83.0,183,RB,H,H
1059,Cristian Romero,89,World Cup PTG  Controlled,75K,5,5,81,52,65,75,91,88,1132,452,2121,79.0,185,CB,M,H
1060,Luis Suárez,89,Road to World Cup  Controlled,0,3,4,85,91,83,89,50,88,669,486,2370,86.0,182,ST,H,M
1061,Emmanuel Petit,89,World Cup ICON  Controlled,0,3,3,81,78,82,77,86,89,962,493,2346,79.0,185,CDM,H,H
1062,Hernán Crespo,89,World Cup ICON  Controlled,42.5K,4,5,87,89,71,88,39,71,1129,445,2151,78.0,184,ST,M,L
1063,Marco Asensio,89,World Cup Stories  Controlled,0,4,4,91,86,84,89,49,70,888,469,2236,76.0,182,ST,H,M
1064,Aymeric Laporte,89,World Cup Stories  Lengthy,0,2,3,82,53,75,72,90,87,988,459,2152,85.0,191,CB,M,M
1065,Lautaro Martínez,89,World Cup Phenoms  Controlled,30K,4,4,86,89,78,88,50,88,778,479,2322,72.0,174,ST,H,M
1066,Pedri,89,World Cup Phenoms  Controlled,28.5K,5,4,83,76,85,90,75,80,1208,489,2312,61.0,174,CM,H,H
1067,Ángel Correa,89,World Cup Showdown S  Explosive,215.95K,4,4,90,89,85,92,57,82,3545,495,2343,70.0,171,ST,H,M
1068,Theo Hernández,89,World Cup TOTT  Controlled,71.5K,3,3,96,75,81,85,82,87,1506,506,2343,81.0,184,LB,H,H
1069,Jack Butland,89,Winter Wildcards  Lengthy,26.25K,5,5,87,88,80,88,80,90,1977,513,1071,95.0,196,GK,M,M
1070,João Félix,89,Winter Wildcards  Controlled,36.5K,5,4,90,85,86,92,45,74,1094,472,2283,70.0,181,RW,M,M
1071,Alexandre Lacazette,89,Winter Wildcards  Controlled,21K,5,4,91,86,86,88,50,86,3110,487,2336,73.0,175,ST,H,H
1072,Dimitri Payet,89,Winter Wildcards SBC  Controlled,83.15K,4,4,89,88,86,90,47,81,10493,481,2284,77.0,175,CAM,H,M
1073,Andrew Robertson,89,Winter Wildcards  Controlled,0,5,2,90,64,85,84,86,83,1001,492,2314,64.0,178,LB,H,H
1074,Gabriel Jesus,89,Winter Wildcards  Explosive,0,5,3,90,88,81,91,46,81,851,477,2287,73.0,175,RW,H,H
1075,Riyad Mahrez,89,FUT Centurions SBC  Explosive,357.85K,5,4,88,86,88,93,42,65,3604,462,2232,67.0,179,RW,H,M
1076,Wissam Ben Yedder,89,FUT Centurions  Explosive,29.5K,4,5,87,89,84,93,44,75,1148,472,2311,68.0,170,ST,H,L
1077,Wojciech Szczesny,89,FUT Centurions  Controlled,0,1,3,90,86,76,90,52,89,1281,483,972,90.0,195,GK,M,M
1078,Martin Ødegaard,89,PL POTM SBC  Explosive,110.25K,5,3,86,84,91,89,63,69,5127,482,2310,68.0,178,CAM,H,M
1079,Marco Verratti,89,FUT Centurions  Explosive,20.75K,4,5,85,72,91,94,83,78,2033,503,2448,60.0,165,CM,M,H
1080,Marco Reus,89,FUT Centurions  Controlled,29.5K,4,4,87,88,88,90,60,77,1558,490,2375,71.0,180,CAM,H,M
1081,Kevin Trapp,89,TIF  Controlled,28.5K,1,4,88,88,83,90,50,89,333,488,907,84.0,189,GK,M,M
1082,Bukayo Saka,89,TOTY Honourable Ment  Explosive,28K,4,4,92,85,85,90,70,78,1815,500,2386,65.0,178,RM,H,M
1083,Federico Valverde,89,TOTY Honourable Ment  Controlled,30K,4,4,92,80,86,86,85,87,1530,516,2421,78.0,182,CM,H,H
1084,Mike Maignan,89,TOTY Honourable Ment  Controlled,0,1,4,87,85,87,91,55,87,1863,492,1144,89.0,191,GK,M,M
1085,Fábio Vieira,89,FUT Future Stars SBC  Explosive,233.45K,4,4,85,87,90,88,76,77,2296,503,2425,61.0,176,CM,H,M
1086,Joško Gvardiol,89,FUT Future Stars  Lengthy,25K,3,4,88,59,80,82,87,90,1564,486,2293,80.0,185,CB,H,H
1087,Vitinha,89,FUT Future Stars  Explosive,0,4,3,85,82,88,90,80,80,2002,505,2405,65.0,173,CM,H,H
1088,Rayan Cherki,89,FUT Future Stars  Explosive,30K,5,5,87,85,88,92,40,70,1985,462,2206,71.0,176,CAM,H,L
1089,Keylor Navas,89,IF  Lengthy,29K,1,3,90,86,76,90,55,89,796,486,1073,80.0,185,GK,M,M
1090,Eddie Nketiah,89,FUT Future Stars  Controlled,29.75K,4,3,93,88,74,88,41,84,1727,468,2217,73.0,180,ST,H,M
1091,Jurriën Timber,89,FUT Future Stars  Controlled,0,3,4,87,59,77,84,87,85,624,479,2215,77.0,179,CB,H,M
1092,Tyrell Malacia,89,FUT Future Stars  Explosive,0,3,3,92,67,82,84,84,80,1100,489,2290,67.0,169,LB,H,M
1093,Wesley Fofana,89,UCL Live  Lengthy,27.5K,2,3,85,41,68,76,91,90,2056,451,2084,76.0,190,CB,M,H
1094,Giacomo Raspadori,89,UCL Live  Explosive,20.25K,4,5,91,90,85,90,38,76,3069,470,2273,69.0,172,CF,H,L
1095,Youcef Atal,89,UECL Live  Controlled,20K,4,5,94,84,85,89,84,84,2998,520,2472,66.0,175,RB,H,M
1096,Wissam Ben Yedder,89,Ligue 1 POTM SBC  Explosive,323.05K,4,5,87,89,85,93,44,74,2972,472,2304,68.0,170,ST,H,L
1097,Carlos Soler,89,ShowDown SBC  Controlled,209.3K,3,5,86,82,90,89,80,84,-288,511,2434,76.0,180,CM,H,H
1098,Manuel Locatelli,89,ShowDown SBC  Controlled,86.8K,3,4,81,84,89,87,89,88,2866,518,2461,75.0,185,CDM,M,H
1099,Jamie Bynoe-Gittens,89,ShowDown SBC  Explosive,49K,4,4,94,86,84,92,42,74,3610,472,2266,70.0,175,LM,H,M
1100,Mattia Zaccagni,89,ShowDown SBC  Explosive,67.35K,4,4,92,84,85,93,67,75,-509,496,2328,63.0,177,LW,H,M
1101,John Stones,89,ShowDown SBC  Lengthy,132.95K,3,4,84,57,80,83,90,87,3164,481,2238,76.0,188,CB,H,H
1102,Angeliño,89,Fantasy  Explosive,21K,4,3,91,77,88,92,87,80,571,515,2461,69.0,171,LWB,H,H
1103,Dele Alli,89,Fantasy  Controlled,22.5K,4,4,87,89,87,91,78,85,485,517,2483,80.0,188,CAM,M,M
1104,Lars Ricken,89,Fantasy Hero  Controlled,30K,4,4,88,90,85,88,62,71,384,484,2346,72.0,178,CAM,H,M
1105,Iván Córdoba,89,Fantasy Hero  Controlled,26K,2,3,88,65,68,71,92,89,856,473,2256,70.0,173,CB,L,H
1106,Ledley King,89,Fantasy Hero  Lengthy,0,2,4,83,58,72,78,92,86,937,469,2186,,188,CB,M,H
1107,Peter Crouch,89,Fantasy Hero  Controlled,0,5,3,86,91,81,87,55,85,1209,485,2328,75.0,201,ST,M,M
1108,Paulo Dybala,89,MOTM  Explosive,26.75K,4,3,85,88,88,93,43,66,294,463,2269,75.0,177,CF,H,L
1109,Sergi Darder,89,Fantasy SBC  Controlled,208.4K,3,4,89,81,89,91,81,84,-1586,515,2437,71.0,180,CM,M,M
1110,Juan Foyth,89,Fantasy  Controlled,0,3,3,86,56,79,83,90,87,1116,481,2245,69.0,187,CB,M,H
1111,Patrick Wimmer,89,Fantasy  Controlled,21K,4,4,96,80,85,90,65,86,-145,502,2317,77.0,182,RM,H,M
1112,Park Ji-sung,89,Fantasy Hero  Controlled,37.25K,3,4,87,82,88,90,83,85,1401,515,2471,73.0,178,CM,H,H
1113,Nicolás Tagliafico,89,Fantasy  Controlled,29K,3,3,89,65,82,85,89,88,721,498,2355,65.0,172,LB,M,H
1114,Ricard Puig Martí,89,Fantasy  Explosive,19K,4,4,86,78,88,95,80,79,102,506,2416,56.0,169,CM,M,M
1115,Dominik Szoboszlai,89,Fantasy  Controlled,30.25K,4,4,88,90,91,91,46,76,881,482,2343,74.0,186,CAM,M,L
1116,Milot Rashica,89,Fantasy SBC  Explosive,29.4K,4,4,95,88,84,90,61,80,-973,498,2380,73.0,177,LM,H,M
1117,Julian Brandt,89,Bundes POTM SBC  Controlled,29.6K,4,4,82,86,89,92,56,74,1458,479,2286,83.0,185,RW,H,M
1118,Mason Mount,89,FUT Ballers Obj  Explosive,0,4,4,86,88,90,90,62,78,763,494,2371,74.0,180,CAM,H,H
1119,João Félix,89,FUT Birthday  Controlled,0,5,5,90,86,86,93,45,75,674,475,2298,70.0,181,CF,M,M
1120,Alban Lafont,89,FUT Birthday  Controlled,30K,5,5,92,86,76,93,55,89,1255,491,945,90.0,196,GK,M,M
1121,Alex Iwobi,89,FUT Birthday SBC  Controlled,141.65K,5,4,89,85,84,94,41,62,2030,455,2215,75.0,185,CAM,M,L
1122,Darwin Núñez,89,FUT Birthday  Controlled,0,4,5,95,88,77,86,48,92,1328,486,2305,80.0,186,LW,H,H
1123,Darwin Núñez,89,FUT Birthday  Controlled,0,5,4,95,88,77,86,48,92,1039,486,2305,80.0,186,LW,H,H
1124,Matheus Cunha,89,ShowDown SBC  Controlled,191.55K,4,5,91,88,83,91,41,82,-804,476,2275,76.0,184,ST,H,M
1125,Morgan Gibbs-White,89,ShowDown SBC  Explosive,206.9K,4,5,89,84,87,90,76,81,-1914,507,2404,70.0,178,CAM,H,M
1126,Michail Antonio,89,FUT Birthday SBC  Controlled,145.55K,4,5,91,87,83,88,65,89,728,503,2396,82.0,178,ST,H,M
1127,Dani Olmo,89,SIF  Explosive,16.25K,4,4,80,86,89,93,61,71,10,480,2326,72.0,179,RW,M,H
1128,Antoine Griezmann,89,LaLiga POTM SBC  Explosive,243.15K,4,4,88,89,90,92,59,82,4212,500,2484,73.0,176,ST,H,M
1129,Alex Sandro,89,FUT Birthday  Controlled,212.3K,5,3,89,74,83,89,86,88,2939,509,2435,80.0,180,LB,H,M
1130,Christopher Nkunku,89,FUT Birthday SBC  Explosive,623.45K,5,5,91,84,87,91,72,73,-2099,498,2360,73.0,175,CF,H,M
1131,Alex Telles,89,FUT Birthday  Controlled,24K,5,3,92,82,89,86,86,83,740,518,2516,71.0,181,LB,H,M
1132,Timo Werner,89,FUT Birthday  Controlled,23K,4,5,96,87,81,89,42,77,1319,472,2263,76.0,180,ST,H,M
1133,El Shaarawy,89,FUT Birthday  Explosive,27.75K,5,3,94,85,85,90,58,79,257,491,2364,73.0,178,CF,M,M
1134,Bruno Fernandes,89,MOTM  Controlled,26.75K,4,3,78,89,91,86,71,80,161,495,2438,69.0,179,CAM,H,H
1135,Corentin Tolisso,89,FUT Birthday SBC  Controlled,195.65K,3,5,80,87,85,88,86,85,-1896,511,2469,81.0,181,CM,H,M
1136,Thomas Meunier,89,ShowDown SBC  Controlled,32.95K,5,5,91,82,85,85,86,90,4241,519,2459,90.0,191,RB,H,M
1137,Guerreiro,89,Bundes POTM SBC  Explosive,47.65K,4,3,83,85,92,93,85,70,3749,508,2457,71.0,170,CM,H,M
1138,Freddie Ljungberg,89,Trophy Titans Hero  Controlled,25K,4,4,91,87,86,89,48,82,438,483,2278,73.0,175,LM,H,M
1139,Landon Donovan,89,Trophy Titans Hero  Explosive,16.5K,4,4,93,91,84,89,50,75,888,482,2315,73.0,173,CF,H,M
1140,Florian Wirtz,89,IF  Explosive,27.5K,4,4,87,85,90,93,59,68,396,482,2276,70.0,176,CAM,H,M
1141,Giovanni Di Lorenzo,89,SIF  Controlled,15.75K,3,3,91,75,81,84,86,88,745,505,2394,83.0,183,RB,M,M
1142,Matthijs de Ligt,89,IF  Lengthy,25K,2,3,81,64,66,74,90,91,282,466,2154,89.0,189,CB,M,H
1143,Claudio Marchisio,89,Trophy Titans Hero Controlled,542.05K,4,4,84,86,87,88,83,84,-2462,512,2455,74.0,180,CM,H,H
1144,Ole Gunnar Solskjær,89,Trophy Titans Hero Controlled,28.25K,5,4,89,92,79,87,48,71,591,466,2257,74.0,178,ST,H,M
1145,Jerzy Dudek,89,Trophy Titans Hero Controlled,20.25K,1,3,89,88,81,93,63,88,1054,502,1064,78.0,187,GK,M,M
1146,Kenny Dalglish,89,Trophy Titans - ICON  Explosive,26.5K,4,5,88,90,75,88,38,70,352,449,2191,73.0,173,ST,H,M
1147,Antoine Griezmann,89,FIF  Explosive,19.5K,4,3,88,90,89,92,60,81,418,500,2487,73.0,176,ST,M,M
1148,Douglas Luiz,89,TIF  Controlled,19.5K,3,2,82,78,89,88,86,83,233,506,2405,66.0,175,CDM,H,M
1149,Orkun Kökçü,89,TOTS  Controlled,21K,3,5,83,85,91,90,79,87,304,515,2464,68.0,175,CM,M,M
1150,Joelinton,89,TOTS  Controlled,0,3,4,87,86,86,89,83,90,3310,521,2460,81.0,186,CM,H,H
1151,Min Jae Kim,89,TOTS  Lengthy,23K,2,3,88,41,72,76,88,92,806,457,2086,81.0,190,CB,M,H
1152,Declan Rice,89,TOTS  Controlled,19.75K,3,3,84,73,83,86,90,91,142,507,2385,80.0,185,CDM,M,H
1153,Khéphren Thuram,89,TOTS  Controlled,25K,3,3,87,84,87,89,88,89,2401,524,2471,81.0,192,CM,H,H
1154,Danilo,89,TOTS  Lengthy,22.5K,3,4,85,78,83,85,90,88,947,509,2443,78.0,184,CB,M,H
1155,Junya Ito,89,TOTS Moments  Explosive,16.5K,4,4,98,83,84,88,70,80,315,503,2382,68.0,177,RW,H,M
1156,Justin Bijlow,89,TOTS Moments SBC  Lengthy,32.55K,1,2,91,86,88,90,75,87,110,517,933,76.0,188,GK,M,M
1157,Youssef En-Nesyri,89,LaLiga POTM SBC  Controlled,34.6K,4,4,89,90,76,89,42,87,-163,473,2277,78.0,188,ST,H,H
1158,Ollie Watkins,89,TOTS  Controlled,0,4,5,93,90,81,88,57,89,964,498,2358,78.0,180,ST,H,H
1159,Rafael Leão,89,CL MOTM  Controlled,40K,4,4,95,85,80,91,32,82,294,465,2179,81.0,188,LW,M,L
1160,Riyad Mahrez,89,MOTM  Explosive,28.5K,5,4,86,87,85,93,41,65,227,457,2205,67.0,179,RW,M,M
1161,Anel Ahmedhodžic,89,TOTS  Controlled,15K,2,3,88,59,81,86,88,93,234,495,2308,84.0,195,CB,M,M
1162,Jonson Clarke-Harris,89,TOTS  Controlled,18K,3,4,91,90,76,86,45,96,87,484,2322,78.0,183,ST,H,L
1163,Phil Jagielka,89,TOTS Moments SBC  Lengthy,26.55K,2,3,83,65,73,75,91,89,-245,476,2255,87.0,180,CB,L,H
1164,Mohamed Fouzair,89,TOTS  Explosive,23.75K,4,5,90,84,87,93,50,81,23,485,2304,70.0,170,RW,H,M
1165,Hassan Tombakti,89,TOTS  Controlled,16.5K,2,3,88,49,59,70,87,93,320,446,2120,74.0,185,CB,M,H
1166,Donyell Malen,89,Bundes POTM SBC  Controlled,46.95K,4,4,94,88,85,90,46,86,1088,489,2348,77.0,178,ST,H,M
1167,Jakob Glesnes,89,TOTS  Lengthy,17.5K,2,3,86,61,80,85,89,92,88,493,2278,84.0,188,CB,M,H
1168,Ferdi Kadioglu,89,TOTS  Explosive,17.75K,4,3,95,79,88,92,83,80,148,517,2455,73.0,174,RB,H,H
1169,Mert Günok,89,TOTS  Lengthy,21K,1,3,88,90,88,86,72,94,1,518,997,92.0,196,GK,M,H
1170,Nicolas Jackson,89,LaLiga POTM SBC  Controlled,20.4K,4,4,90,92,84,88,50,89,533,493,2345,78.0,186,ST,H,L
1171,Boulaye Dia,89,SBC  Controlled,19.4K,4,4,92,90,85,89,34,87,486,477,2269,75.0,180,ST,H,M
1172,Václav Cerný,89,Eredivisie POTM SBC  Controlled,12.6K,4,4,93,89,87,90,40,85,260,484,2311,65.0,182,RW,H,H
1173,Diogo Costa,89,TOTS  Controlled,28.5K,1,2,90,86,81,92,42,90,73,481,802,84.0,188,GK,M,M
1174,Andrei Artean,89,TOTS  Controlled,15.75K,2,3,85,86,82,80,88,99,89,520,2510,81.0,185,CDM,M,H
1175,Fabio Lucioni,89,TOTS  Lengthy,18.75K,2,4,84,50,64,67,89,92,19,446,2151,80.0,185,CB,L,H
1176,Alessandro Nesta,88,Icon  Lengthy,114K,2,3,70,40,63,65,90,85,100,413,1883,80.0,187,CB,M,H
1177,Andrea Pirlo,88,Icon  Controlled,0,5,4,70,79,91,90,66,64,396,460,2253,68.0,177,CM,M,M
1178,Andriy Shevchenko,88,Icon  Controlled,71.5K,3,4,84,89,73,85,35,75,187,441,2161,73.0,183,ST,H,M
1179,Christian Vieri,88,Icon  Lengthy,95K,3,4,82,88,70,80,41,84,-13,445,2116,82.0,185,ST,M,L
1180,Clarence Seedorf,88,Icon  Controlled,70K,4,4,82,85,87,86,70,85,1431,495,2378,77.0,176,CM,H,M
1181,Emmanuel Petit,88,Icon  Controlled,68.5K,3,3,75,77,81,77,86,88,487,484,2333,79.0,185,CDM,H,H
1182,Éric Cantona,88,Icon  Controlled,105K,5,4,87,88,87,90,50,90,1520,492,2388,82.0,188,CF,H,M
1183,Fernando Torres,88,Icon  Controlled,72K,4,4,91,87,73,86,43,75,1225,455,2181,77.0,186,ST,H,M
1184,Franco Baresi,88,Icon  Controlled,0,2,3,71,47,70,72,89,82,11,431,2058,68.0,176,CB,M,H
1185,Frank Lampard,88,Icon  Controlled,70K,3,4,66,88,87,83,70,76,-120,470,2299,89.0,184,CM,M,M
1186,Frank Rijkaard,88,Icon  Lengthy,71K,3,4,78,73,79,78,88,85,1150,481,2263,85.0,187,CB,M,M
1187,George Best,88,Icon  Explosive,75.5K,4,4,91,88,81,92,59,70,1536,481,2317,64.0,175,RW,M,M
1188,Jari Litmanen,88,Icon  Controlled,130K,3,4,83,89,81,83,33,64,89,433,2109,76.0,181,CAM,H,M
1189,Javier Zanetti,88,Icon  Controlled,130K,2,4,83,61,85,82,87,80,462,478,2237,75.0,178,RB,H,H
1190,Juan Sebastián Verón,88,Icon  Controlled,70.5K,3,4,74,83,88,83,75,82,283,485,2354,80.0,186,CM,M,M
1191,Lothar Matthäus,88,Icon  Controlled,90K,3,4,82,82,87,77,90,80,1306,498,2446,71.0,174,CB,H,H
1192,Luís Figo,88,Icon  Controlled,130K,4,4,88,84,87,88,42,77,523,466,2220,76.0,180,CAM,M,L
1193,Marcel Desailly,88,Icon  Lengthy,82.5K,2,3,83,54,69,67,88,88,1258,449,2088,80.0,185,CDM,M,H
1194,Michael Owen,88,Icon  Explosive,70K,3,4,91,86,66,87,31,62,294,423,2047,70.0,173,ST,M,M
1195,Nemanja Vidić,88,Icon  Lengthy,68K,2,3,70,46,60,61,91,88,105,416,1984,84.0,190,CB,M,H
1196,Paolo Maldini,88,Icon  Controlled,100K,2,4,87,54,73,65,90,78,5857,447,2062,77.0,186,LB,M,H
1197,Patrick Kluivert,88,Icon  Controlled,69.5K,4,4,86,84,79,82,39,81,108,451,2175,81.0,188,ST,H,L
1198,Patrick Vieira,88,Icon  Controlled,76.5K,3,3,85,75,80,84,86,89,1607,499,2329,82.0,192,CM,M,H
1199,Petr Cech,88,Icon  Controlled,130K,1,3,87,87,79,88,51,89,1454,481,1097,92.0,196,GK,M,M
1200,Raúl González Blanco,88,Icon  Explosive,130K,4,4,86,86,78,88,45,72,767,455,2191,66.0,180,CF,H,M
1201,Rio Ferdinand,88,Icon  Lengthy,71.5K,3,3,80,48,65,64,89,82,1318,428,2010,87.0,189,CB,M,M
1202,Robert Pirès,88,Icon  Controlled,69.5K,4,4,88,80,86,86,40,62,133,442,2131,74.0,187,LM,M,M
1203,Roberto Carlos,88,Icon  Controlled,85K,3,2,90,81,86,79,83,85,1354,504,2433,70.0,168,LB,H,H
1204,Ronald Koeman,88,Icon  Controlled,70.5K,3,3,77,86,86,79,87,83,387,498,2443,80.0,181,CB,H,M
1205,Roy Keane,88,Icon  Lengthy,83K,2,3,74,72,84,78,85,88,750,481,2304,76.0,180,CM,M,H
1206,Rui Manuel César Costa,88,Icon  Controlled,68.5K,4,4,82,80,87,86,47,76,76,458,2223,74.0,180,CAM,M,L
1207,Xavier Hernández,88,Icon  Explosive,0,4,3,81,75,89,88,63,64,587,460,2231,67.0,170,CM,H,H
1208,Wayne Rooney,88,Icon  Controlled,83.5K,3,4,90,90,81,87,50,86,2277,484,2320,81.0,176,CF,H,H
1209,Al-Owairan,88,World Cup Hero  Controlled,0,4,4,99,86,83,92,38,76,10352,474,2265,76.0,184,CAM,H,M
1210,Landon Donovan,88,World Cup Hero  Explosive,0,4,4,92,90,83,87,48,73,1605,473,2271,73.0,173,RM,M,M
1211,Włodzimierz Smolarek,88,World Cup Hero  Controlled,20K,3,4,94,90,82,92,43,85,4606,486,2334,70.0,171,ST,H,M
1212,Claudio Marchisio,88,World Cup Hero  Controlled,0,4,4,83,84,86,87,81,83,1633,504,2415,74.0,180,CM,H,H
1213,Capdevila,88,World Cup Hero  Controlled,31.25K,4,3,90,78,83,82,87,82,4380,502,2404,79.0,182,LB,H,M
1214,Hidetoshi Nakata,88,World Cup Hero  Controlled,25.5K,4,4,87,86,86,87,63,67,1409,476,2330,72.0,175,CAM,M,M
1215,Harry Kewell,88,World Cup Hero  Explosive,0,4,4,91,87,89,89,53,71,2135,480,2308,74.0,180,CF,M,M
1216,Dirk Kuyt,88,World Cup Hero  Controlled,30K,4,3,87,90,84,86,72,84,3183,503,2397,84.0,183,RM,H,H
1217,Jairzinho,88,Icon  Controlled,0,5,4,91,88,84,90,47,74,947,474,2277,74.0,173,RW,H,M
1218,Erling Haaland,88,Normal  Lengthy,0,3,3,89,91,65,80,49,87,6365,461,2153,94.0,195,ST,H,M
1219,Toni Kroos,88,Normal  Controlled,10K,3,5,53,81,90,81,71,68,432,444,2184,76.0,183,CM,M,M
1220,Marquinhos,88,Normal  Controlled,0,3,3,79,56,75,74,89,80,974,453,2121,75.0,183,CB,M,H
1221,Bernardo Silva,88,Rare  Explosive,9K,4,3,77,78,84,92,61,68,1047,460,2221,64.0,173,CAM,H,H
1222,Rúben Dias,88,Rare  Lengthy,9.8K,2,4,63,39,66,68,88,88,907,412,1928,82.0,187,CB,M,H
1223,João Cancelo,88,Rare  Controlled,20K,4,4,85,73,85,85,81,73,1744,482,2290,74.0,182,LB,H,M
1224,ter Stegen,88,Rare  Controlled,9.3K,1,4,86,85,87,90,47,85,790,480,1080,85.0,187,GK,M,M
1225,Luka Modric,88,Rare  Explosive,18K,4,4,73,76,89,88,72,66,855,464,2297,66.0,172,CM,M,M
1226,Keylor Navas,88,Normal  Controlled,33K,1,3,89,84,75,89,54,87,232,478,1071,80.0,185,GK,M,M
1227,Gianluigi Donnarumma,88,Rare  Controlled,0,1,3,90,83,79,89,52,85,621,478,1014,90.0,196,GK,M,M
1228,Jay-Jay Okocha,88,Hero  Explosive,29.75K,5,4,87,83,83,93,40,60,1855,446,2174,70.0,173,CAM,M,L
1229,Antonio Di Natale,88,Hero  Explosive,23.5K,4,4,90,91,85,90,46,70,3149,472,2289,69.0,170,ST,H,L
